LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1671015059.075248,72021,9976,1,SA,1,100,0.000011
1671015059.275521,72215,10010,1,SA,1,100,0.000032
1671015067.658098,80335,11454,1,SA,1,100,0.000005
1671015068.123682,80786,11548,1,SA,1,100,0.000016
1671015068.722437,81366,11638,1,SA,1,100,0.000013
1671015069.191118,81820,11656,1,SA,1,100,0.000004
1671015069.390359,82013,12057,1,SA,1,100,0.000353
1671015072.055853,84595,12337,1,SA,1,100,0.000595
1671015074.650116,87108,12588,1,SA,1,100,0.000024
1671015075.310812,87748,12692,1,SA,1,100,0.000028
1671015075.842466,88263,12921,1,SA,1,100,0.000319
1671015077.705834,90068,13199,1,SA,1,100,0.000098
1671015078.570932,90906,13259,1,SA,1,100,0.000054
1671015079.035484,91356,13317,1,SA,1,100,0.000029
1671015079.704438,92004,13421,1,SA,1,100,0.000021
1671015080.235060,92518,13578,1,SA,1,100,0.000075
1671015080.904014,93166,13614,1,SA,1,100,0.000018
1671015081.304561,93554,13685,1,SA,1,100,0.000011
1671015081.768080,94003,13774,1,SA,1,100,0.000025
1671015082.239858,94460,13829,1,SA,1,100,0.000010
1671015082.438067,94652,13862,1,SA,1,100,0.000011
1671015082.774609,94978,13932,1,SA,1,100,0.000012
1671015083.236063,95425,14007,1,SA,1,100,0.000007
1671015083.435304,95618,14136,1,SA,1,100,0.000089
1671015084.764955,96906,14290,1,SA,1,100,0.000051
1671015085.428747,97549,14377,1,SA,1,100,0.000015
1671015085.627988,97742,14432,1,SA,1,100,0.000030
1671015085.960401,98064,14468,1,SA,1,100,0.000018
1671015086.489990,98577,14592,1,SA,1,100,0.000060
1671015087.222949,99287,14766,1,SA,1,100,0.000076
1671015088.354390,100383,14890,1,SA,1,100,0.000032
1671015088.749775,100766,14945,1,SA,1,100,0.000032
1671015089.483767,101477,15088,1,SA,1,100,0.000037
1671015090.017485,101994,15142,1,SA,1,100,0.000012
1671015090.215694,102186,15179,1,SA,1,100,0.000016
1671015090.485134,102447,15235,1,SA,1,100,0.000018
1671015090.747348,102701,15268,1,SA,1,100,0.000026
1671015091.016788,102962,15325,1,SA,1,100,0.000023
1671015091.419399,103352,15410,1,SA,1,100,0.000028
1671015092.285530,104191,15553,1,SA,1,100,0.000058
1671015093.347805,105220,15707,1,SA,1,100,0.000017
1671015093.615180,105479,15763,1,SA,1,100,0.000028
1671015093.946560,105800,15799,1,SA,1,100,0.000017
1671015094.479246,106316,15927,1,SA,1,100,0.000052
1671015095.940003,107731,16172,1,SA,1,100,0.000039
1671015096.535661,108308,16259,1,SA,1,100,0.000026
1671015096.870139,108632,16280,1,SA,1,100,0.000024
1671015097.201519,108953,16350,1,SA,1,100,0.000014
1671015097.400760,109146,16384,1,SA,1,100,0.000015
1671015097.732140,109467,16439,1,SA,1,100,0.000014
1671015097.931381,109660,16475,1,SA,1,100,0.000009
1671015098.531169,110241,16652,1,SA,1,100,0.000073
1671015099.398332,111081,16739,1,SA,1,100,0.000031
1671015099.730745,111403,16780,1,SA,1,100,0.000015
1671015100.060060,111722,16837,1,SA,1,100,0.000018
1671015100.326403,111980,16871,1,SA,1,100,0.000013
1671015100.595843,112241,16927,1,SA,1,100,0.000026
1671015100.861154,112498,16963,1,SA,1,100,0.000015
1671015101.529076,113145,17067,1,SA,1,100,0.000001
1671015101.729349,113339,17121,1,SA,1,100,0.000021
1671015102.130928,113728,17194,1,SA,1,100,0.000022
1671015102.596512,114179,17264,1,SA,1,100,0.000019
1671015103.397606,114955,17402,1,SA,1,100,0.000038
1671015104.130565,115665,17510,1,SA,1,100,0.000010
1671015104.461945,115986,17581,1,SA,1,100,0.000020
1671015104.729321,116245,17616,1,SA,1,100,0.000021
1671015104.993599,116501,17678,1,SA,1,100,0.000041
1671015105.789531,117272,17800,1,SA,1,100,0.000026
1671015106.785736,118237,18006,1,SA,1,100,0.000063
1671015107.580635,119007,18096,1,SA,1,100,0.000009
1671015107.978085,119392,18150,1,SA,1,100,0.000006
1671015108.182488,119590,18220,1,SA,1,100,0.000037
1671015108.780211,120169,18274,1,SA,1,100,0.000019
1671015108.978420,120361,18363,1,SA,1,100,0.000053
1671015109.511106,120877,18417,1,SA,1,100,0.000033
1671015110.174898,121520,18523,1,SA,1,100,0.000006
1671015110.508343,121843,18580,1,SA,1,100,0.000010
1671015110.705519,122034,18636,1,SA,1,100,0.000021
1671015111.042061,122360,18722,1,SA,1,100,0.000046
1671015111.642882,122942,18776,1,SA,1,100,0.000012
1671015111.976326,123265,18848,1,SA,1,100,0.000013
1671015112.506948,123779,18921,1,SA,1,100,0.000008
1671015112.710318,123976,19008,1,SA,1,100,0.000058
1671015113.512444,124753,19111,1,SA,1,100,0.000022
1671015113.976995,125203,19200,1,SA,1,100,0.000049
1671015115.237479,126424,19374,1,SA,1,100,0.000006
1671015115.438785,126619,19451,1,SA,1,100,0.000037
1671015116.039605,127201,19540,1,SA,1,100,0.000026
1671015116.704430,127845,19644,1,SA,1,100,0.000032
1671015117.300088,128422,19715,1,SA,1,100,0.000000
1671015117.495200,128611,19786,1,SA,1,100,0.000025
1671015117.894715,128998,19907,1,SA,1,100,0.000061
1671015118.627674,129708,19960,1,SA,1,100,0.000025
1671015119.094290,130160,20018,1,SA,1,100,0.000006
1671015119.825185,130868,20172,1,SA,1,100,0.000035
1671015120.625246,131643,20294,1,SA,1,100,0.000021
1671015121.025793,132031,20357,1,SA,1,100,0.000022
1671015121.358205,132353,20391,1,SA,1,100,0.000010
1671015121.956961,132933,20516,1,SA,1,100,0.000024
1671015122.693017,133646,20706,1,SA,1,100,0.000074
1671015123.424944,134355,20741,1,SA,1,100,0.000010
1671015123.889496,134805,20849,1,SA,1,100,0.000036
1671015124.956932,135839,21024,1,SA,1,100,0.000045
1671015125.755961,136613,21162,1,SA,1,100,0.000044
1671015126.881208,137703,21345,1,SA,1,100,0.000041
1671015127.411830,138217,21398,1,SA,1,100,0.000025
1671015127.812376,138605,21470,1,SA,1,100,0.000011
1671015128.010585,138797,21506,1,SA,1,100,0.000019
1671015128.412164,139186,21646,1,SA,1,100,0.000058
1671015129.206032,139955,21700,1,SA,1,100,0.000009
1671015129.405272,140148,21735,1,SA,1,100,0.000015
1671015129.608643,140345,21824,1,SA,1,100,0.000058
1671015130.338505,141052,21894,1,SA,1,100,0.000015
1671015130.871191,141568,21984,1,SA,1,100,0.000016
1671015131.273803,141958,22054,1,SA,1,100,0.000016
1671015131.537049,142213,22114,1,SA,1,100,0.000021
1671015131.869461,142535,22170,1,SA,1,100,0.000029
1671015132.201874,142857,22237,1,SA,1,100,0.000027
1671015133.005032,143635,22380,1,SA,1,100,0.000061
1671015133.870130,144473,22484,1,SA,1,100,0.000011
1671015134.274806,144865,22591,1,SA,1,100,0.000042
1671015134.807492,145381,22644,1,SA,1,100,0.000023
1671015135.211136,145772,22731,1,SA,1,100,0.000030
1671015135.609618,146158,22785,1,SA,1,100,0.000028
1671015136.143336,146675,22875,1,SA,1,100,0.000019
1671015136.672925,147188,23001,1,SA,1,100,0.000057
1671015137.401755,147894,23091,1,SA,1,100,0.000023
1671015137.733135,148215,23126,1,SA,1,100,0.000009
1671015138.198720,148666,23248,1,SA,1,100,0.000048
1671015138.793345,149242,23320,1,SA,1,100,0.000017
1671015139.060721,149501,23390,1,SA,1,100,0.000059
1671015139.527337,149953,23496,1,SA,1,100,0.000124
1671015140.192162,150597,23533,1,SA,1,100,0.000025
1671015140.391403,150790,23620,1,SA,1,100,0.000112
1671015141.257534,151629,23725,1,SA,1,100,0.000030
1671015141.653951,152013,23781,1,SA,1,100,0.000014
1671015141.855257,152208,23846,1,SA,1,100,0.000031
1671015142.388975,152725,23916,1,SA,1,100,0.000028
1671015142.925791,153245,24026,1,SA,1,100,0.000047
1671015143.457444,153760,24077,1,SA,1,100,0.000018
