LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
640313.755115,640313.755106,1673974810.442591,86584.000,11949,2,RD,1,100,TL
640313.755115,640313.755106,1673974810.442591,86584.000,11949,2,RD,1,100,TU
640316.385981,640316.385971,1673974813.073380,89133.500,12795,2,RD,1,100,TL
640319.016846,640319.016836,1673974815.704168,91683.000,12795,2,RD,1,100,TU
640321.652354,640321.652345,1673974818.339600,94237.000,13643,2,RD,1,100,TL
640324.287863,640324.287854,1673974820.975032,96791.000,13643,2,RD,1,100,TU
640326.940914,640326.940905,1673974823.628006,99362.000,14502,2,RD,1,100,TL
640329.593966,640329.593956,1673974826.280980,101933.000,14502,2,RD,1,100,TU
640332.229475,640332.229464,1673974828.916412,104487.000,15352,2,RD,1,100,TL
640334.864983,640334.864973,1673974831.551844,107041.000,15352,2,RD,1,100,TU
640337.502040,640337.502029,1673974834.188824,109596.500,16195,2,RD,1,100,TL
640340.139097,640340.139086,1673974836.825804,112152.000,16195,2,RD,1,100,TU
640342.800403,640342.800392,1673974839.487033,114731.000,17057,2,RD,1,100,TL
640345.461710,640345.461699,1673974842.148262,117310.000,17057,2,RD,1,100,TU
640348.093607,640348.093596,1673974844.780083,119860.500,17905,2,RD,1,100,TL
640350.725504,640350.725493,1673974847.411903,122411.000,17905,2,RD,1,100,TU
640353.359981,640353.359969,1673974850.046303,124964.000,18750,2,RD,1,100,TL
640355.994458,640355.994446,1673974852.680703,127517.000,18750,2,RD,1,100,TU
640358.650089,640358.650077,1673974855.336257,130090.500,19609,2,RD,1,100,TL
640361.305720,640361.305708,1673974857.991811,132664.000,19609,2,RD,1,100,TU
640363.945872,640363.945860,1673974860.631886,135222.500,20457,2,RD,1,100,TL
640366.586024,640366.586012,1673974863.271962,137781.000,20457,2,RD,1,100,TU
640369.242687,640369.242675,1673974865.928548,140355.500,21318,2,RD,1,100,TL
640371.899350,640371.899338,1673974868.585133,142930.000,21318,2,RD,1,100,TU
640374.557561,640374.557549,1673974871.243267,145506.000,22181,2,RD,1,100,TL
640377.215772,640377.215759,1673974873.901400,148082.000,22181,2,RD,1,100,TU
640379.886366,640379.886353,1673974876.571916,150670.000,23043,2,RD,1,100,TL
640382.556960,640382.556947,1673974879.242432,153258.000,23043,2,RD,1,100,TU
640385.187309,640385.187296,1673974881.872705,155807.000,23889,2,RD,1,100,TL
640387.817658,640387.817645,1673974884.502977,158356.000,23889,2,RD,1,100,TU
640390.460390,640390.460377,1673974887.145633,160917.000,24735,2,RD,1,100,TL
640393.103123,640393.103109,1673974889.788288,163478.000,24735,2,RD,1,100,TU
640395.765977,640395.765963,1673974892.451065,166058.500,25594,2,RD,1,100,TL
640398.428832,640398.428817,1673974895.113842,168639.000,25594,2,RD,1,100,TU
640401.060213,640401.060198,1673974897.745146,171189.000,26443,2,RD,1,100,TL
640403.691594,640403.691579,1673974900.376451,173739.000,26443,2,RD,1,100,TU
640406.350321,640406.350306,1673974903.035100,176315.500,27304,2,RD,1,100,TL
640409.009047,640409.009033,1673974905.693749,178892.000,27304,2,RD,1,100,TU
640411.640944,640411.640929,1673974908.325570,181442.500,28134,2,RD,1,100,TL
640414.272841,640414.272826,1673974910.957390,183993.000,28134,2,RD,1,100,TU
640416.912478,640416.912463,1673974913.596950,186551.000,28962,2,RD,1,100,TL
640419.552114,640419.552099,1673974916.236509,189109.000,28962,2,RD,1,100,TU
640422.188139,640422.188123,1673974918.872457,191663.500,29795,2,RD,1,100,TL
640424.824164,640424.824148,1673974921.508405,194218.000,29795,2,RD,1,100,TU
640427.472571,640427.472555,1673974924.156736,196784.500,30593,2,RD,1,100,TL
640430.120979,640430.120963,1673974926.805066,199351.000,30593,2,RD,1,100,TU
640432.755972,640432.755956,1673974929.439982,201904.500,31441,2,RD,1,100,TL
640435.390965,640435.390948,1673974932.074898,204458.000,31441,2,RD,1,100,TU
640438.022346,640438.022329,1673974934.706203,207008.000,32287,2,RD,1,100,TL
640440.653727,640440.653710,1673974937.337507,209558.000,32287,2,RD,1,100,TU
640443.307810,640443.307793,1673974939.991513,212130.000,33149,2,RD,1,100,TL
640445.961893,640445.961876,1673974942.645519,214702.000,33149,2,RD,1,100,TU
640448.610301,640448.610284,1673974945.293850,217268.500,33978,2,RD,1,100,TL
640451.258709,640451.258691,1673974947.942180,219835.000,33978,2,RD,1,100,TU
640453.903505,640453.903487,1673974950.586899,222398.000,34828,2,RD,1,100,TL
640456.548301,640456.548283,1673974953.231618,224961.000,34828,2,RD,1,100,TU
640459.195160,640459.195143,1673974955.878401,227526.000,35673,2,RD,1,100,TL
640461.842020,640461.842002,1673974958.525184,230091.000,35673,2,RD,1,100,TU
640464.497135,640464.497117,1673974961.180222,232664.000,36519,2,RD,1,100,TL
640467.152250,640467.152232,1673974963.835259,235237.000,36519,2,RD,1,100,TU
640469.791371,640469.791352,1673974966.474303,237794.500,37362,2,RD,1,100,TL
640472.430491,640472.430473,1673974969.113347,240352.000,37362,2,RD,1,100,TU
640475.077867,640475.077848,1673974971.760645,242917.500,38212,2,RD,1,100,TL
640477.725243,640477.725224,1673974974.407944,245483.000,38212,2,RD,1,100,TU
640480.369523,640480.369504,1673974977.052147,248045.500,39057,2,RD,1,100,TL
640483.013803,640483.013784,1673974979.696350,250608.000,39057,2,RD,1,100,TU
640485.647248,640485.647229,1673974982.329718,253160.000,39889,2,RD,1,100,TL
640488.280693,640488.280673,1673974984.963086,255712.000,39889,2,RD,1,100,TU
640490.937356,640490.937336,1673974987.619672,258286.500,40738,2,RD,1,100,TL
640493.594019,640493.593999,1673974990.276258,260861.000,40738,2,RD,1,100,TU
640496.248102,640496.248082,1673974992.930264,263433.000,41583,2,RD,1,100,TL
640498.902185,640498.902165,1673974995.584270,266005.000,41583,2,RD,1,100,TU
640501.556268,640501.556248,1673974998.238275,268577.000,42431,2,RD,1,100,TL
640504.210352,640504.210331,1673975000.892281,271149.000,42431,2,RD,1,100,TU
640506.859275,640506.859255,1673975003.541128,273716.000,43278,2,RD,1,100,TL
640509.508199,640509.508178,1673975006.189974,276283.000,43278,2,RD,1,100,TU
640512.147319,640512.147298,1673975008.829018,278840.500,44124,2,RD,1,100,TL
640514.786440,640514.786419,1673975011.468061,281398.000,44124,2,RD,1,100,TU
640517.430204,640517.430183,1673975014.111749,283960.000,44966,2,RD,1,100,TL
640520.073968,640520.073947,1673975016.755436,286522.000,44966,2,RD,1,100,TU
640522.731663,640522.731641,1673975019.413053,289097.500,45816,2,RD,1,100,TL
640525.389358,640525.389336,1673975022.070671,291673.000,45816,2,RD,1,100,TU
640528.042925,640528.042903,1673975024.724161,294244.500,46661,2,RD,1,100,TL
640530.696492,640530.696470,1673975027.377651,296816.000,46661,2,RD,1,100,TU
640533.330453,640533.330431,1673975030.011535,299368.500,47493,2,RD,1,100,TL
640535.964414,640535.964392,1673975032.645419,301921.000,47493,2,RD,1,100,TU
640538.623141,640538.623118,1673975035.304068,304497.500,48336,2,RD,1,100,TL
640541.281868,640541.281845,1673975037.962718,307074.000,48336,2,RD,1,100,TU
640543.934919,640543.934896,1673975040.615692,309645.000,49184,2,RD,1,100,TL
640546.587970,640546.587947,1673975043.268666,312216.000,49184,2,RD,1,100,TU
640549.242054,640549.242030,1673975045.922672,314788.000,50028,2,RD,1,100,TL
640551.896137,640551.896113,1673975048.576678,317360.000,50028,2,RD,1,100,TU
640554.534225,640554.534202,1673975051.214689,319916.500,50861,2,RD,1,100,TL
640557.172314,640557.172290,1673975053.852701,322473.000,50861,2,RD,1,100,TU
640559.808339,640559.808315,1673975056.488649,325027.500,51707,2,RD,1,100,TL
640562.444363,640562.444339,1673975059.124597,327582.000,51707,2,RD,1,100,TU
640565.090707,640565.090683,1673975061.770864,330146.500,52553,2,RD,1,100,TL
640567.737051,640567.737027,1673975064.417131,332711.000,52553,2,RD,1,100,TU
640570.387522,640570.387498,1673975067.067525,335279.500,53398,2,RD,1,100,TL
640573.037994,640573.037969,1673975069.717919,337848.000,53398,2,RD,1,100,TU
640575.697237,640575.697212,1673975072.377085,340425.000,54248,2,RD,1,100,TL
640578.356480,640578.356455,1673975075.036250,343002.000,54248,2,RD,1,100,TU
640580.990440,640580.990415,1673975077.670134,345554.500,55079,2,RD,1,100,TL
640583.624401,640583.624376,1673975080.304018,348107.000,55079,2,RD,1,100,TU
640586.266102,640586.266076,1673975082.945642,350667.000,55922,2,RD,1,100,TL
640588.907802,640588.907776,1673975085.587265,353227.000,55922,2,RD,1,100,TU
640591.546406,640591.546381,1673975088.225793,355784.000,56737,2,RD,1,100,TL
640594.185011,640594.184985,1673975090.864320,358341.000,56737,2,RD,1,100,TU
640596.818456,640596.818430,1673975093.497689,360893.000,57568,2,RD,1,100,TL
640599.451901,640599.451874,1673975096.131057,363445.000,57568,2,RD,1,100,TU
640602.110627,640602.110601,1673975098.789706,366021.500,58414,2,RD,1,100,TL
640604.769354,640604.769328,1673975101.448355,368598.000,58414,2,RD,1,100,TU
640607.400219,640607.400193,1673975104.079144,371147.500,59243,2,RD,1,100,TL
640610.031085,640610.031058,1673975106.709933,373697.000,59243,2,RD,1,100,TU
640612.687748,640612.687721,1673975109.366518,376271.500,60093,2,RD,1,100,TL
640615.344411,640615.344383,1673975112.023104,378846.000,60093,2,RD,1,100,TU
640617.984563,640617.984536,1673975114.663179,381404.500,60922,2,RD,1,100,TL
640620.624715,640620.624688,1673975117.303255,383963.000,60922,2,RD,1,100,TU
640623.255580,640623.255553,1673975119.934043,386512.500,61753,2,RD,1,100,TL
640625.886446,640625.886418,1673975122.564832,389062.000,61753,2,RD,1,100,TU
640628.521438,640628.521410,1673975125.199748,391615.500,62580,2,RD,1,100,TL
640631.156431,640631.156403,1673975127.834664,394169.000,62580,2,RD,1,100,TU
640633.797100,640633.797071,1673975130.475255,396728.000,63428,2,RD,1,100,TL
640636.437768,640636.437739,1673975133.115847,399287.000,63428,2,RD,1,100,TU
640639.089787,640639.089759,1673975135.767789,401857.000,64271,2,RD,1,100,TL
640641.741807,640641.741778,1673975138.419731,404427.000,64271,2,RD,1,100,TU
640644.399502,640644.399473,1673975141.077349,407002.500,65119,2,RD,1,100,TL
640647.057196,640647.057167,1673975143.734966,409578.000,65119,2,RD,1,100,TU
640649.705088,640649.705059,1673975146.382781,412144.000,430,2,RD,1,100,TL
640652.352980,640652.352950,1673975149.030596,414710.000,430,2,RD,1,100,TU
